"H","L0601","027","218248","IBProduce","5bffa965-3450-40f9-a432-3a66198309af-dbmgv2","C",,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","9173196",,,,,,"1","4-5 CT","CT","PACKER","","Melon Watermelon Seedless Fresh","Produce",53.71,,"N",,false,,0,70,,"STOCKED",,"N",,
"P","2036598",,,,,,"1","18-24#","LB","PROPACK","","Squash Zucchini Small Fancy Fresh","Produce",22.63,,"N",,false,,0,25,,"STOCKED",,"N",,
"P","7410566",,,,,,"1","6 CT","CT","IMPERIAL FRESH","","Grapefruit Ruby Red Fresh","Produce",6.95,,"N",,false,,0,6.5,,"STOCKED",,"N",,
"P","6359673",,,,,,"12","6 OZ","OZ","PACKER","","Blueberries Fresh","Produce",45.29,,"N",,false,,0,4.5,,"STOCKED",,"N",,
"P","1182336",,,,,,"12",".5 PT","PT","PROPACK","","Raspberry Red Fresh","Produce",37.85,,"N",,false,,0,5.5,,"STOCKED",,"N",,
"P","3342965",,,,,,"1","10 LB","LB","IMPERIAL FRESH","","Tomato Fresh Mixed Medley","Produce",30.65,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","1008382",,,,,,"1","10LB","LB","PROPACK","","Peas Snow Fresh","Produce",55.99,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","2005346",,,,,,"1","1 LB","LB","IMPERIAL FRESH","","Oregano Fresh Herb","Produce",14.79,,"N",,false,,0,1,,"STOCKED",,"N",,
"P","1132050",,,,,,"1","3 LB","LB","IMPERIAL FRESH","10734730354788","Lettuce Fresh Tender Greens","Produce",11.91,,"N",,false,,0,3,,"STOCKED",,"N",,
"P","1132040",,,,,,"4","3 LB","LB","IMPERIAL FRESH","10734730354795","Lettuce Fresh Tender Greens","Produce",32.15,,"N",,false,,0,12,,"STOCKED",,"N",,
"P","1623131",,,,,,"1","12-15","CT","PROPACK","","Melon Cantaloupe Fresh","Produce",41.95,,"N",,false,,0,40,,"STOCKED",,"N",,
"P","6042113",,,,,,"6","3 KILO","KG","ARREZZIO IMPERIAL","6042113","Pepper Red Strips Fire Roasted","Canned & Dry",62.65,,"N",,false,,0,35.25,,"STOCKED",,"N",,
