2025-10-26 11:42:15,223 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Downtown, date=None
2025-10-26 11:42:15,240 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Collegetown, date=None
2025-10-26 11:42:15,262 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Bakery, date=None
2025-10-26 11:42:15,279 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Easthill, date=None
2025-10-26 11:42:15,295 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Downtown, date=None
2025-10-26 11:42:15,312 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Collegetown, date=None
2025-10-26 11:45:51,314 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Bakery, date=None
2025-10-26 11:45:51,332 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Easthill, date=None
2025-10-26 11:45:51,349 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Downtown, date=None
2025-10-26 11:45:51,367 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Collegetown, date=None
2025-10-26 11:45:51,384 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Bakery, date=None
2025-10-26 11:45:51,400 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Easthill, date=None
2025-10-26 11:45:51,418 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Downtown, date=None
2025-10-26 11:45:51,436 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Collegetown, date=None
2025-10-26 11:45:51,453 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Bakery, date=None
2025-10-26 11:45:51,471 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Easthill, date=None
2025-10-26 11:45:51,487 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Downtown, date=None
2025-10-26 11:45:51,505 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Collegetown, date=None
2025-10-26 12:06:41,800 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Bakery, date=None
2025-10-26 12:06:41,829 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Easthill, date=None
2025-10-26 12:06:41,860 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Downtown, date=None
2025-10-26 12:06:41,889 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Collegetown, date=None
2025-10-26 12:06:41,914 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Bakery, date=None
2025-10-26 12:06:41,938 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Easthill, date=None
2025-10-26 12:06:41,955 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Downtown, date=None
2025-10-26 12:06:41,973 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Collegetown, date=None
2025-10-26 12:06:41,990 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Bakery, date=None
2025-10-26 12:06:42,007 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Easthill, date=None
2025-10-26 12:06:42,024 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Downtown, date=None
2025-10-26 12:06:42,040 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Collegetown, date=None
2025-10-26 12:08:47,524 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Bakery, date=None
2025-10-26 12:08:47,542 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Easthill, date=None
2025-10-26 12:08:47,560 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Downtown, date=None
2025-10-26 12:08:47,583 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Collegetown, date=None
2025-10-26 12:08:47,609 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Bakery, date=None
2025-10-26 12:08:47,629 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Easthill, date=None
2025-10-26 12:08:47,646 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Downtown, date=None
2025-10-26 12:08:47,668 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Collegetown, date=None
2025-10-26 12:08:47,691 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Bakery, date=None
2025-10-26 12:08:47,713 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Easthill, date=None
2025-10-26 12:08:47,735 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Downtown, date=None
2025-10-26 12:08:47,769 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Collegetown, date=None
2025-10-26 12:09:30,579 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Bakery, date=None
2025-10-26 12:09:30,597 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Easthill, date=None
2025-10-26 12:09:30,614 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Downtown, date=None
2025-10-26 12:09:30,640 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Collegetown, date=None
2025-10-26 12:09:30,657 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Bakery, date=None
2025-10-26 12:09:30,674 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Easthill, date=None
2025-10-26 12:09:30,691 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Downtown, date=None
2025-10-26 12:09:30,711 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Collegetown, date=None
2025-10-26 12:09:30,731 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Bakery, date=None
2025-10-26 12:09:30,748 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Easthill, date=None
2025-10-26 12:09:30,765 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Downtown, date=None
2025-10-26 12:09:30,783 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Collegetown, date=None
2025-10-26 12:10:46,670 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Bakery, date=None
2025-10-26 12:10:46,687 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Easthill, date=None
2025-10-26 12:10:46,704 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Downtown, date=None
2025-10-26 12:10:46,720 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Collegetown, date=None
2025-10-26 12:10:46,738 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Bakery, date=None
2025-10-26 12:10:46,755 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Easthill, date=None
2025-10-26 12:10:46,771 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Downtown, date=None
2025-10-26 12:10:46,787 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Collegetown, date=None
2025-10-26 12:10:46,804 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Bakery, date=None
2025-10-26 12:10:46,820 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Easthill, date=None
2025-10-26 12:10:46,836 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Downtown, date=None
2025-10-26 12:10:46,853 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Collegetown, date=None
2025-10-26 12:11:36,712 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Bakery, date=None
2025-10-26 12:11:36,772 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Easthill, date=None
2025-10-26 12:11:36,831 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Downtown, date=None
2025-10-26 12:11:36,895 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Collegetown, date=None
2025-10-26 12:11:36,951 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Bakery, date=None
2025-10-26 12:11:37,006 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Easthill, date=None
2025-10-26 12:11:37,063 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Downtown, date=None
2025-10-26 12:11:37,119 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Collegetown, date=None
2025-10-26 12:11:37,173 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Bakery, date=None
2025-10-26 12:11:37,232 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Easthill, date=None
2025-10-26 12:11:37,287 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Downtown, date=None
2025-10-26 12:11:37,342 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Collegetown, date=None
2025-10-26 12:13:53,077 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Bakery, date=None
2025-10-26 12:13:53,105 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Easthill, date=None
2025-10-26 12:13:53,127 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Downtown, date=None
2025-10-26 12:13:53,150 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Collegetown, date=None
2025-10-26 12:13:53,171 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Bakery, date=None
2025-10-26 12:13:53,194 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Easthill, date=None
2025-10-26 12:13:53,216 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Downtown, date=None
2025-10-26 12:13:53,238 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Collegetown, date=None
2025-10-26 12:13:53,268 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Bakery, date=None
2025-10-26 12:13:53,292 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Easthill, date=None
2025-10-26 12:13:53,321 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Downtown, date=None
2025-10-26 12:13:53,343 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Collegetown, date=None
2025-10-26 12:20:31,366 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Bakery, date=None
2025-10-26 12:20:31,397 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Easthill, date=None
2025-10-26 12:20:31,418 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Downtown, date=None
2025-10-26 12:20:31,441 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Sysco, store=Collegetown, date=None
2025-10-26 12:20:31,464 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Bakery, date=None
2025-10-26 12:20:31,486 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Easthill, date=None
2025-10-26 12:20:31,511 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Downtown, date=None
2025-10-26 12:20:31,538 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=Performance Food, store=Collegetown, date=None
2025-10-26 12:20:31,565 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Bakery, date=None
2025-10-26 12:20:31,588 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Easthill, date=None
2025-10-26 12:20:31,609 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Downtown, date=None
2025-10-26 12:20:31,631 - INFO - backend.app.application.orders.GetOrder - (orders.py:44) - Getting order vendor=US Foods, store=Collegetown, date=None
