2025-10-11 12:07:25,761 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 12:07:56,242 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 12:08:24,274 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 12:21:44,910 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 12:26:07,938 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 12:27:00,386 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 12:27:38,187 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 12:28:55,012 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 12:30:08,358 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 12:33:20,984 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 12:36:27,122 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 12:38:49,276 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 12:41:04,391 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 12:41:25,495 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 12:43:13,280 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 12:45:37,001 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 12:47:02,763 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 12:47:37,427 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 13:03:27,888 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['UNFI'], dates=None
2025-10-11 13:04:44,433 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Sysco'], dates=None
2025-10-11 13:06:06,778 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Sysco'], dates=None
2025-10-11 13:08:20,611 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Sysco'], dates=None
2025-10-11 13:24:31,112 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Sysco'], dates=None
2025-10-11 13:26:35,169 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Sysco'], dates=None
2025-10-11 13:28:11,329 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Sysco'], dates=None
2025-10-11 13:31:21,381 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Sysco'], dates=None
2025-10-11 13:32:23,774 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Sysco'], dates=None
2025-10-11 13:33:47,639 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Sysco'], dates=None
2025-10-11 13:34:44,816 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Sysco'], dates=None
2025-10-11 13:35:20,448 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Sysco'], dates=None
2025-10-11 13:36:02,937 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Sysco'], dates=None
2025-10-11 13:37:01,658 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Sysco'], dates=None
2025-10-11 13:37:37,754 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Sysco'], dates=None
2025-10-11 13:38:03,698 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Sysco'], dates=None
2025-10-11 13:39:27,675 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Sysco'], dates=None
2025-10-11 13:51:18,404 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Sysco'], dates=None
