"H","L0601","027","218248","ithaca produce list","5bffa965-3450-40f9-a432-3a66198309af-dbmgv2","C",,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","2227015",,,,,,"1","50 LB","LB","IMPERIAL FRESH",,"Carrots Jumbo Fresh","Produce",47.49,,"N",,false,,0,50,,"STOCKED",,,,
"P","2260149",,,,,,"1","12 CT","CT","PACKER",,"Greens Collard Fresh","Produce",26.99,,"N",,false,,0,16.5,,"STOCKED",,,,
"P","2105773",,,,,,"1","30 DZ","DZ","WHOLESOME FARMS CLASSIC",,"Egg Shell Large White Usda Aa","Dairy",54.85,,"N",,false,,0,47,,"STOCKED",,,,
"P","2463164",,,,,,"1","4 LB","LB","IMPERIAL FRESH",,"Grape Red Seedless Fresh","Produce",24.99,,"N",,false,,0,4,,"STOCKED",,,,
"P","1354135",,,,,,"1","5-6CT","CT","PROPACK",,"Melon Honeydew Fresh","Produce",29.9,,"N",,false,,0,24,,"STOCKED",,,,
"P","1985274",,,,,,"4","2.5 LB","LB","IMPERIAL FRESH",,"Kale Cleaned Ready To Use","Produce",38.92,11.68,"N",,true,,1,10,,"STOCKED",,,,
"P","1290469",,,,,,"1","39 CT","CT","PACKER",,"Kiwi Fruit Fancy Fresh","Produce",32.77,,"N",,false,,0,10,,"STOCKED",,,,
"P","1008168",,,,,,"1","12 CT","CT","PROPACK",,"Leek Bunch Fresh","Produce",42.89,,"N",,false,,0,20,,"STOCKED",,,,
"P","1723857",,,,,,"1","24 CT","CT","SYSCO / FRESH POINT NATURAL",,"Lettuce Greens Leaf Fresh With Liner","Produce",23.78,,"N",,false,,0,23,,"STOCKED",,,,
"P","3758778",,,,,,"1","3 LB","LB","IMPERIAL FRESH",,"Mushrooms Shiitake Medium With Stems","Produce",34.45,,"N",,false,,0,3,,"STOCKED",,,,
"P","1182211",,,,,,"1","10LB","LB","IMPERIAL FRESH",,"Mushroom Medium Fresh","Produce",28.69,,"N",,false,,0,10.1,,"STOCKED",,,,
"P","8313967",,,,,,"1","25 LB","LB","IMPERIAL FRESH",,"Onion Red Jumbo Box","Produce",28.87,,"N",,false,,0,25,,"STOCKED",,,,
"P","1094721",,,,,,"1","50 LB","LB","IMPERIAL FRESH",,"Onion Yellow Jumbo Bag","Produce",29.75,,"N",,false,,0,50,,"STOCKED",,,,
"P","6846554",,,,,,"1","30 LB","LB","IMPERIAL FRESH",,"Onions Yellow Whole Peeled Jumbo","Produce",48.87,,"N",,false,,0,30,,"STOCKED",,,,
"P","7350788",,,,,,"4","2 LB","LB","IMPERIAL FRESH",,"Onion Green Iceless","Produce",32.96,9.89,"N",,true,,1,8.4,,"STOCKED",,,,
"P","2219111",,,,,,"4","1 LB","LB","IMPERIAL FRESH",,"Parsley Cleaned & Washed Fresh Herb","Produce",24.65,7.62,"N",,true,,1,4,,"STOCKED",,,,
"P","1745161",,,,,,"1","11 LB","LB","IMPERIAL FRESH",,"Pepper Bell Red Hothouse #1","Produce",25.29,,"N",,false,,0,11,,"STOCKED",,,,
"P","9927799",,,,,,"1","10 LB","LB","IMPERIAL FRESH",,"Pepper Jalapeno Fresh","Produce",19.33,,"N",,false,,0,10,,"STOCKED",,,,
"P","7413057",,,,,,"1","6 CT","CT","PROPACK",,"Pineapple Fresh Golden Ripe","Produce",18.67,,"N",,false,,0,12,,"STOCKED",,,,
"P","8481756",,,,,,"1","50 LB","LB","IMPERIAL FRESH",,"Potato Red A Size #1 Fresh","Produce",32.45,,"N",,false,,0,50,,"STOCKED",,,,
"P","1008465",,,,,,"1","50 LB","LB","IMPERIAL FRESH",,"Potato Baking Idaho 90 Count Fresh","Produce",22.65,,"N",,false,,0,50,,"STOCKED",,,,
"P","8474538",,,,,,"1","4 LB","LB","IMPERIAL FRESH",,"Spinach Baby Fresh","Produce",14.94,,"N",,false,,0,4,,"STOCKED",,,,
"P","3629433",,,,,,"1","3 LB","LB","IMPERIAL FRESH",,"Lettuce Spring Mix Conventional Pillow-packed","Produce",10.95,,"N",,false,,0,3,,"STOCKED",,,,
"P","4249389",,,,,,"12","2 LB","LB","SYSCO IMPERIAL",,"Pea Sugar Snap Grade A Usa","Frozen",71.99,,"N",,false,,0,24,,"STOCKED",,,,
"P","6017263",,,,,,"12","1 PT","PT","IMPERIAL FRESH",,"Tomato Grape Fresh","Produce",61.35,,"N",,false,,0,10,,"STOCKED",,,,
"P","9173196",,,,,,"1","4-5 CT","CT","PACKER",,"Melon Watermelon Seedless Fresh","Produce",58.84,,"N",,false,,0,70,,"STOCKED",,,,
"P","2036598",,,,,,"1","18-24#","LB","PROPACK",,"Squash Zucchini Small Fancy Fresh","Produce",25.66,,"N",,false,,0,25,,"STOCKED",,,,
"P","7410566",,,,,,"1","6 CT","CT","IMPERIAL FRESH",,"Grapefruit Ruby Red Fresh","Produce",5.25,,"N",,false,,0,6.5,,"STOCKED",,,,
"P","6359673",,,,,,"12","6 OZ","OZ","PACKER",,"Blueberries Fresh","Produce",55.77,,"N",,false,,0,4.5,,"STOCKED",,,,
"P","1182336",,,,,,"12",".5 PT","PT","PROPACK",,"Raspberry Red Fresh","Produce",41.65,,"N",,false,,0,5.5,,"STOCKED",,,,
